PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,,,,,,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,,,,,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,,,,,,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,,,,,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,,,,,,,,,,,,,,
8,MODUL LAPORAN & ANALITIK,,,,,,,,,,,,,,,,,,,,,,
8.1,Laporan Secara Customize,,,,,,,,,,,,,,,,,,,,,,
8.1.1,Petender hendaklah menyediakan sistem yang mempunyai keupayaan untuk membolehkan pengguna yang dibenarkan menyesuaikan (customise) laporan mengikut keperluan semasa. Sistem hendaklah membenarkan penjanaan laporan berdasarkan pemilihan medan (field) yang terdapat dalam pangkalan data serta menyediakan fungsi untuk menyimpan laporan yang telah ditetapkan sebagai kegemaran (favourite) bagi kegunaan akan datang,Mandatori,,,,,,,,,,,,,,,,,,,,,
8.2,Laporan Prestasi Pembiayaan Secara Berkala,,,,,,,,,,,,,,,,,,,,,,
8.2.1,"Petender dikehendaki menyediakan sistem yang menjana laporan secara Harian / Mingguan / Bulanan / Suku Tahun / Tahunan. Laporan boleh dijadualkan (scheduled reports) atau dijana secara ad hoc. Format laporan adalah PDF, Excel, BI Dashboard (jika perlu) dan lain-lain.",Mandatori,,,,,,,,,,,,,,,,,,,,,
8.2.2,Petender dikehendaki menyediakan Laporan mengikut pecahan potongan semasa penyaluran (contoh Takaful Pembiayaan/Takaful Kemalangan/PERKESO/wasiat/Seminar Asas Keusahawanan/Yuran Wakalah/dan lain-lain yang akan ditetapkan).,Mandatori,,,,,,,,,,,,,,,,,,,,,
8.2.3,"Petender dikehendaki menyediakan Laporan Pembiayaan Mengikut Dana (Inisiatif/Flag), Laporan Senarai Penghutang boleh filter dan termasuk aging serta Laporan Forecast Pembiayaan/NPF/Kutipan/Dana dan lain-lain.",Mandatori,,,,,,,,,,,,,,,,,,,,,
8.2.4,"Petender hendaklah membangunkan fungsi laporan kutipan mengikut pecahan pokok, caj dan simpanan. Laporan boleh dijana mengikut dana, negeri, cawangan, Pembantu Pegawai (PP), owner seliaan, sub seliaan, produk dan lain-lain. Contoh laporan seperti Laporan Kutipan harian/mingguan/bulanan/tahunan, Laporan SNC dan Laporan Jangkaan Kutipan berdasarkan trend yang menggunakan element AI contoh mengikut trend bulanan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
8.2.5,"Petender perlu membangunkan fungsi Laporan Resit yang mempunyai laporan perincian resit kutipan secara harian, mingguan dan bulanan; laporan perbandingan kutipan dengan penyata bank bagi tempoh harian, bulanan dan tahunan; laporan perbandingan prestasi jenis resit mengikut saluran pembayaran yang boleh difilter mengikut negeri dan pejabat cawangan; laporan pematuhan pengurusan resit kutipan; serta laporan kawalan harian resit yang memaparkan senarai kemasukan slip bank berdasarkan kod agen.",Mandatori,,,,,,,,,,,,,,,,,,,,,
