PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN
1,MODUL PENDAFTARAN & PERMOHONAN,
1,Akses Portal SPPT (Pendaftaran ID & Login),
1.0.1,"Petender hendaklah membangunkan fungsi pendaftaran ID baharu bagi pengguna pertama kali, yang membolehkan pemohon mendaftar akaun dengan memasukkan maklumat asas (Nama, No. MyKad, Email, No. Telefon).",Mandatori
1.0.2,Sistem hendaklah menghantar OTP (One Time Password) melalui SMS/Email bagi tujuan pengesahan akaun. ,Mandatori
1.0.3,Sistem hendaklah membenarkan pengguna log masuk ke portal SPPT menggunakan ID & kata laluan selepas akaun disahkan.,Mandatori
1.0.4,Petender perlu memastikan sistem menyokong 2-Factor Authentication (2FA) seperti OTP / aplikasi authenticator bagi setiap kali log masuk.,Mandatori
1.0.5,"Sistem hendaklah dilengkapi fungsi Fraud Detection untuk memantau cubaan log masuk luar biasa (lokasi asing, percubaan gagal berulang, penggunaan peranti baharu) dan menguatkuasakan kawalan keselamatan yang bersesuaian.",Mandatori
1.0.6,"Sistem hendaklah merekod semua aktiviti pendaftaran dan log masuk dalam audit trail (ID pengguna, tarikh/masa, alamat IP/peranti). Laporan log hendaklah boleh dieksport (PDF/Excel).",Mandatori
1.0.7,Sistem hendaklah dilengkapi dengan integrasi JPN semasa kemasukan No MyKad.,Mandatori
1.0.8,Sistem hendaklah dilengkapi eKYC (electronic Know Your Customer) yang standard.,Mandatori
1.0.9,"Sistem hendaklah dilengkapi Agensi Pelaporan Kredit untuk semakan kredit (Contoh EXPERIAN, CTOS, CCRIS).",Mandatori
1.0.10,Sistem hendaklah menyokong pendaftaran syarikat dengan lebih daripada seorang pemilik/pengarah sebagaimana direkodkan dalam pangkalan data SSM.,Mandatori
1.0.11,"Pemohon hendaklah ditetapkan sebagai Primary Account Holder, iaitu pemegang akaun utama untuk log masuk SPPT dan bertanggungjawab terhadap semua urusan rasmi syarikat.",Mandatori
