,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,
2,MODUL PENILAIAN & KELULUSAN PEMOHON,,,,,,,,,
2.1,Penilaian Skor Kredit & Semakan Dokumen Permohonan,,,,,,,,,
2.1.1,"Sistem hendaklah melakukan AI Credit Scoring berasaskan data Agensi Pelaporan Kredit (APK), rekod dalaman TEKUN, sejarah bayaran balik, reschedule/penjadualan semula, serta faktor demografi & perniagaan untuk menghasilkan skor risiko pemohon.",Mandatori,,,,,,,,
2.1.2,"Sistem hendaklah menyemak kesahihan dokumen secara automatik menggunakan AI-OCR & AI Fraud Detection bagi mengesan pemalsuan, pendua, dan ketakselarasan data rentas dokumen.",Mandatori,,,,,,,,
2.1.3,Sistem hendaklah membolehkan pegawai menanda dokumen sebagai Lengkap / Tidak Lengkap / Perlu Semakan Tambahan dan menghantar notifikasi kepada pemohon untuk tindakan lanjut.,Mandatori,,,,,,,,
2.1.4,"Semua keputusan penilaian & semakan hendaklah direkod dalam audit trail (tarikh, masa, pegawai, keputusan, skor kredit, rujukan dokumen).",Mandatori,,,,,,,,
2.1.5,Sistem hendaklah mentakrif risk band/threshold (cth: Rendah/Sederhana/Tinggi) yang boleh dikonfigurasi pentadbir; keputusan automatik (auto-approve/auto-reject/route to review) berdasarkan peratus penilaian yang ditetapkan.,Mandatori,,,,,,,,
2.1.6,Sistem hendaklah memaparkan punca utama skor (top contributing factors) dan sebab penolakan/kelewatan (adverse action reasons) untuk ketelusan keputusan.,Mandatori,,,,,,,,
2.1.7,"Sistem hendaklah melakukan cross-validation data (contoh: nama/No. KP/SSM/akaun bank) merentasi semua dokumen & input, serta menanda inconsistency flags untuk semakan pegawai.",Mandatori,,,,,,,,
2.2,Lawatan Tapak & Penyediaan Laporan Siasatan,,,,,,,,,
2.2.1,"Sistem hendaklah menyediakan modul penjadualan lawatan tapak dengan integrasi kalendar pegawai, notifikasi SMS/Email kepada pemohon, geo-tag lokasi perniagaan, serta auto-rescheduling jika berlaku perubahan tarikh.",Mandatori,,,,,,,,
2.2.2,"Sistem hendaklah menyokong mobile app/portal pegawai untuk merekod hasil lawatan termasuk gambar, video, koordinat GPS, catatan pegawai, serta sokongan offline mode (sync semula bila ada internet).",Mandatori,,,,,,,,
2.2.3,Sistem hendaklah menyediakan senarai semak digital semasa lawatan.,Mandatori,,,,,,,,
2.2.4,Sistem hendaklah menggunakan AI Image & Video Recognition untuk mengesahkan kesahihan gambar (contoh: mengelak penggunaan imej dari internet atau bukan lokasi sebenar).,,,,,,,,,
2.2.5,"Sistem hendaklah membolehkan pegawai memuat naik dokumen sokongan tambahan (contoh: penyata kewangan fizikal, invois pembekal) semasa lawatan.",Mandatori,,,,,,,,
2.2.6,"Sistem hendaklah menghasilkan laporan lawatan automatik yang mengandungi ringkasan penemuan, dokumen sokongan, bukti bergambar, skor penilaian risiko (jika ada), serta saranan awal pegawai.",Mandatori,,,,,,,,
2.2.7,"Laporan lawatan hendaklah menyokong template boleh ubah suai mengikut kategori pembiayaan (contoh: SPUMI, Kontrak-i, Asnafpreneur).",Mandatori,,,,,,,,
2.2.8,Sistem hendaklah membolehkan laporan dihantar terus ke Pengurus Cawangan untuk pengesyoran dan boleh dihantar semula kepada pegawai untuk siasatan semula.,Mandatori,,,,,,,,
2.2.9,Sistem hendaklah membolehkan laporan dihantar terus untuk pengesahan Pengurus Cawangan dan ke workflow kelulusan jawatankuasa dan dihubungkan dengan Modul 2.3 (Cadangan Kelulusan).,Mandatori,,,,,,,,
2.2.10,Sistem hendaklah membolehkan lokasi pemohon dipetakan dalam GIS Dashboard untuk analisis geografi (contoh: kluster usahawan mengikut daerah/negeri).,Mandatori,,,,,,,,
2.2.11,"Sistem hendaklah menyediakan laporan statistik lawatan (bilangan lawatan selesai, belum selesai, batal, kadar kehadiran pegawai, masa purata laporan siap).",Mandatori,,,,,,,,
2.2.12,Sistem hendaklah menyokong digital signature (e-sign) pegawai yang membuat lawatan bagi mengesahkan keaslian laporan.,Mandatori,,,,,,,,
2.3,Cadangan Kelulusan oleh Pegawai / Jawatankuasa,,,,,,,,,
2.3.1,"Sistem hendaklah membolehkan pegawai membuat cadangan kelulusan / penolakan dengan ruangan catatan justifikasi, termasuk muat naik dokumen sokongan (contoh: laporan lawatan, bukti tambahan).",Mandatori,,,,,,,,
2.3.2,"Sistem hendaklah menyokong workflow approval berperingkat dan boleh dihantar semula (reverse) ke setiap workflow atau workflow yang akan ditetapkan (contoh: pegawai cawangan ? penyelia negeri ? jawatankuasa ibu pejabat) dengan peranan dan hak akses, amaun dan kemaskini maklumat boleh dikonfigurasi.",Mandatori,,,,,,,,
2.3.3,"Sistem hendaklah membolehkan jawatankuasa membuat keputusan secara mesyuarat fizikal atau maya, dengan fungsi e-Approval (digital signature, e-minutes, voting elektronik, consensus tracking) dan jawatankuasa boleh membuat keputusan khas dan ditagging.",Mandatori,,,,,,,,
2.3.4,"Semua keputusan kelulusan hendaklah direkod dengan butiran ID pegawai/jawatankuasa, tarikh, masa, status keputusan, alasan, serta dokumen yang dirujuk semasa membuat keputusan.",Mandatori,,,,,,,,
2.3.5,"Sistem hendaklah menyediakan laporan berdasarkan AI Scoring untuk memberi cadangan tahap risiko “Lulus / Tidak Lulus / Perlu Semakan Lanjut” berdasarkan skor kredit secara visual, laporan lawatan, status syariah, dan sejarah pemohon.",Mandatori,,,,,,,,
2.3.6,"Sistem hendaklah menyediakan dashboard keputusan untuk jawatankuasa dengan paparan ringkas (contoh: skor risiko, dokumen utama, status syariah, lawatan tapak).",Mandatori,,,,,,,,
2.3.7,"Sistem hendaklah menyokong role-based access control (RBAC) di mana hanya pegawai/jawatankuasa tertentu boleh meluluskan amaun tertentu (contoh: cawangan ? RM20k, negeri ? RM100k, pusat > RM100k).",Mandatori,,,,,,,,
2.3.8,Sistem hendaklah menyediakan fungsi tracking SLA kelulusan (contoh: permohonan mesti diproses dalam ? 14 hari) dengan amaran jika tempoh dilampaui.,Mandatori,,,,,,,,
2.3.9,"Semua mesyuarat kelulusan (maya/fizikal) hendaklah direkodkan, termasuk log voting elektronik dan rekod digital signature untuk pematuhan audit.",Mandatori,,,,,,,,
2.3.10,"Sistem hendaklah membolehkan eksport keputusan kelulusan dalam format PDF, Excel, atau XML untuk dihantar ke modul pelaporan, audit, atau pihak ketiga (contoh: BNM, Kementerian).",Mandatori,,,,,,,,
2.4,Notifikasi Keputusan (Kelulusan atau Penolakan),,,,,,,,,
2.4.1,Sistem hendaklah menghantar notifikasi automatik (SMS/Email/WhatsApp) kepada pemohon mengenai status keputusan: contoh Lulus / Tidak Lulus / Perlu Semakan Tambahan.,Mandatori,,,,,,,,
2.4.2,Sistem hendaklah menyediakan status keputusan di portal pemohon dan pegawai dengan nombor rujukan permohonan dan tarikh keputusan.,Mandatori,,,,,,,,
2.4.3,Sistem hendaklah menyimpan semua rekod notifikasi keputusan dalam audit trail.,Mandatori,,,,,,,,
2.4.4,"Sistem hendaklah membolehkan mesej notifikasi disesuaikan (customizable templates) oleh pegawai TEKUN mengikut jenis produk, kategori pemohon, atau status kelulusan.",Mandatori,,,,,,,,
2.4.5,"Sistem hendaklah menyokong multi-channel notification termasuk SMS, Email, Whatsapp, Push Notification (mobile app), dan mesej dalam portal SPPT.",Mandatori,,,,,,,,
2.4.6,Sistem hendaklah menyokong multi-language notification sekurang-kurangnya dalam Bahasa Melayu & Bahasa Inggeris.,Mandatori,,,,,,,,
2.4.7,"Sistem hendaklah menghantar notifikasi berserta dokumen sokongan (contoh: surat penolakan, surat kelulusan sementara, senarai dokumen tambahan yang diperlukan).",Mandatori,,,,,,,,
2.4.8,"Sistem hendaklah menyediakan tracking status notifikasi (dihantar, diterima, dibuka, gagal hantar) untuk pemantauan pegawai.",Mandatori,,,,,,,,
2.4.9,Sistem hendaklah menyokong integrasi SMS Gateway & Email Server dengan fallback auto-resend jika penghantaran gagal.,Mandatori,,,,,,,,
2.4.10,Sistem hendaklah menyokong notifikasi berperingkat (contoh: jika tidak dibuka dalam 48 jam ? reminder automatik; jika status masih pending ? escalate kepada pegawai).,Mandatori,,,,,,,,
2.4.11,Semua rekod notifikasi hendaklah boleh dieksport ke format PDF/Excel dan lain-lain format yang akan diputuskan oleh TEKUN untuk tujuan audit dan pelaporan dalaman.,Mandatori,,,,,,,,
2.5,Penyediaan & Penyerahan Surat Tawaran Pembiayaan,,,,,,,,,
2.5.1,"Sistem hendaklah menjana Surat Tawaran Pembiayaan secara automatik berdasarkan template diluluskan TEKUN, lengkap dengan jumlah pembiayaan, tempoh bayaran balik, kadar keuntungan, dan syarat-syarat lain.",Mandatori,,,,,,,,
2.5.2,"Sistem hendaklah menyokong digital signing (e-signature) pegawai berautoriti pada surat tawaran, selaras dengan Akta Tandatangan Digital Malaysia.",Mandatori,,,,,,,,
2.5.3,"Sistem hendaklah membolehkan pemohon menerima surat tawaran melalui portal + email dengan salinan rasmi dalam format PDF secured (read-only, watermarked, non-editable).",Mandatori,,,,,,,,
2.5.4,Semua surat tawaran hendaklah disimpan dalam document repository dengan kawalan akses berasaskan peranan (RBAC). Sistem perlu menyokong version control untuk memastikan hanya versi sah yang digunakan.,Mandatori,,,,,,,,
2.5.5,"Sistem hendaklah menyediakan analitik surat tawaran (dihantar, diterima, belum dibuka, tamat tempoh) serta laporan bulanan untuk pemantauan pengurusan.",Mandatori,,,,,,,,
2.5.6,Sistem hendaklah menyokong auto-expiry di mana surat tawaran yang tidak ditandatangani selepas tempoh tertentu akan dibatalkan secara automatik dengan notifikasi kepada pemohon & pegawai.,Mandatori,,,,,,,,
2.5.7,"Sistem hendaklah menyediakan workflow penerimaan pemohon dengan pilihan: (i) Menerima tawaran, (ii) Menolak tawaran, atau (iii) Mohon pindaan (contoh: tempoh bayaran balik).",Mandatori,,,,,,,,
2.5.8,"Sekiranya tolak selepas terima tawaran, perlu mempunyai fungsi upload dokumen tambahan.",Mandatori,,,,,,,,
2.5.9,Sistem hendaklah menyokong AI Document Generator untuk memadankan butiran pemohon ke dalam surat tawaran secara dinamik tanpa kesilapan manual.,Mandatori,,,,,,,,
2.5.10,"Sistem hendaklah menyediakan fungsi multilingual support (BM/BI) bagi surat tawaran, mengikut bahasa pilihan pemohon.",Mandatori,,,,,,,,
2.5.11,"Semua surat tawaran yang dikeluarkan hendaklah direkod dalam audit trail (tarikh, masa, pegawai yang meluluskan, ID pemohon, versi dokumen).",Mandatori,,,,,,,,
2.5.12,"Sistem hendaklah menyediakan dashboard pemantauan surat tawaran untuk pengurusan, dengan KPI seperti jumlah dikeluarkan, diterima, tamat tempoh, dan kadar penerimaan (% acceptance rate).",Mandatori,,,,,,,,
2.6,Komponen Automasi Pintar (AI & Machine Learning),,,,,,,,,
2.6.1,"Petender hendaklah membangunkan AI Risk Engine yang menganalisis data pemohon (demografi, kewangan, rekod CCRIS, rekod dalaman TEKUN, dan maklumat perniagaan) untuk menjana skor risiko automatik.",Mandatori,,,,,,,,
2.6.2,"Petender perlu menyediakan modul Machine Learning (ML) yang belajar daripada data pembiayaan lepas, termasuk rekod kelulusan/penolakan, prestasi bayaran balik, dan kes NPL untuk meningkatkan ketepatan skor.",Mandatori,,,,,,,,
2.6.3,"Petender dikehendaki membolehkan AI mengklasifikasikan pemohon kepada kategori Risiko Rendah, Sederhana, atau Tinggi, dengan indikator visual (contoh: hijau/kuning/merah).",Mandatori,,,,,,,,
2.6.4,"Petender hendaklah memastikan skor risiko digunakan sebagai rujukan utama dalam aliran proses kelulusan, termasuk cadangan automatik: Auto-Lulus, Rujuk Semakan, Auto-Tolak (mengikut polisi TEKUN).",Mandatori,,,,,,,,
2.6.5,"Petender bertanggungjawab memastikan penilaian AI adalah konsisten, telus, dan mengurangkan bias (contoh: bias jantina, umur, lokasi) dalam proses kelulusan.",Mandatori,,,,,,,,
2.6.6,"Sistem hendaklah menyediakan fungsi yang memaparkan faktor utama yang mempengaruhi keputusan (contoh: skor CCRIS, pendapatan, status bayaran balik terdahulu).",Mandatori,,,,,,,,
2.7,Integrasi Ke Modul 3,,,,,,,,,
2.7.1,"Semua data permohonan yang lengkap, disahkan, dan diluluskan hendaklah dihantar secara automatik ke Modul 3 – Pengeluaran Dana (Disbursement) untuk proses seterusnya tanpa memerlukan input manual.",Mandatori,,,,,,,,
TAMAT MODUL PENILAIAN & KELULUSAN PEMOHON,,,,,,,,,,
